date,n_positive,n_negative,n_neutral,n_total,neutral_ratio,s1_primary,s2_alternate,s3_prob_weighted,s4_conf_weighted,avg_confidence,avg_pos_prob,avg_neg_prob,avg_neu_prob
2017-05-08,59,36,85,180,0.4722,0.242105,0.127778,0.053629,0.355263,0.6873,0.354,0.3004,0.3457
2017-05-09,66,53,82,201,0.408,0.109244,0.064677,0.001238,0.158537,0.6798,0.3357,0.3345,0.3298
2017-05-10,66,50,80,196,0.4082,0.137931,0.081633,0.00988,0.131868,0.7027,0.3461,0.3362,0.3177
2017-05-11,51,34,56,141,0.3972,0.2,0.120567,0.006729,0.017241,0.6805,0.3412,0.3345,0.3243
2017-05-12,67,73,95,235,0.4043,-0.042857,-0.025532,-0.050858,0.029412,0.6851,0.3171,0.368,0.3149
2017-05-13,23,17,27,67,0.403,0.15,0.089552,0.019308,0.038462,0.6675,0.3408,0.3215,0.3376
2017-05-14,6,15,36,57,0.6316,-0.428571,-0.157895,-0.165848,-0.615385,0.6302,0.1921,0.3579,0.45
2017-05-15,71,56,98,225,0.4356,0.11811,0.066667,0.00186,0.126316,0.6912,0.3278,0.3259,0.3463
2017-05-16,57,25,41,123,0.3333,0.390244,0.260163,0.137932,0.446429,0.7006,0.4259,0.288,0.2861
2017-05-17,61,58,105,224,0.4688,0.02521,0.013393,-0.049625,0.010309,0.7037,0.3091,0.3587,0.3321
2017-05-18,57,54,72,183,0.3934,0.027027,0.016393,-0.028875,-0.0125,0.6909,0.3303,0.3592,0.3105
2017-05-19,65,48,60,173,0.3468,0.150442,0.098266,0.011445,0.125,0.7142,0.3574,0.346,0.2965
2017-05-20,20,18,25,63,0.3968,0.052632,0.031746,0.035373,0.346154,0.6875,0.3533,0.318,0.3287
2017-05-21,9,4,18,31,0.5806,0.384615,0.16129,-0.009675,0.2,0.6466,0.2984,0.308,0.3936
2017-05-22,39,21,57,117,0.4872,0.3,0.153846,0.075645,0.404255,0.681,0.3709,0.2952,0.3339
2017-05-23,54,72,84,210,0.4,-0.142857,-0.085714,-0.132992,-0.344444,0.6863,0.2682,0.4012,0.3306
2017-05-24,53,60,54,167,0.3234,-0.061947,-0.041916,-0.084394,-0.123457,0.7105,0.3153,0.3996,0.2851
2017-05-25,79,54,78,211,0.3697,0.18797,0.118483,0.037132,0.178218,0.7093,0.3693,0.3322,0.2985
2017-05-26,62,59,63,184,0.3424,0.024793,0.016304,-0.047217,0.020619,0.7233,0.3326,0.3798,0.2877
2017-05-27,21,19,22,62,0.3548,0.05,0.032258,0.006559,0.190476,0.6602,0.3416,0.335,0.3233
2017-05-28,21,20,37,78,0.4744,0.02439,0.012821,-0.061012,-0.166667,0.6686,0.2971,0.3581,0.3447
2017-05-29,52,70,77,199,0.3869,-0.147541,-0.090452,-0.129535,-0.21875,0.7035,0.2813,0.4108,0.3079
2017-05-30,54,59,97,210,0.4619,-0.044248,-0.02381,-0.054824,-0.065789,0.6555,0.2948,0.3496,0.3557
2017-05-31,32,38,53,123,0.4309,-0.085714,-0.04878,-0.085971,-0.058824,0.6914,0.2942,0.3801,0.3257
2017-06-01,65,73,75,213,0.3521,-0.057971,-0.037559,-0.090131,-0.141414,0.7062,0.3082,0.3983,0.2934
2017-06-02,67,86,88,241,0.3651,-0.124183,-0.078838,-0.099725,-0.157895,0.7012,0.297,0.3967,0.3063
2017-06-03,13,32,40,85,0.4706,-0.422222,-0.223529,-0.207573,-0.484848,0.6771,0.2253,0.4329,0.3418
2017-06-04,19,23,63,105,0.6,-0.095238,-0.038095,-0.104548,-0.26087,0.6284,0.2376,0.3421,0.4202
2017-06-05,14,17,27,58,0.4655,-0.096774,-0.051724,-0.100181,-0.047619,0.6746,0.2653,0.3655,0.3691
2017-06-06,14,40,32,86,0.3721,-0.481481,-0.302326,-0.265943,-0.526316,0.6919,0.2053,0.4712,0.3235
2017-06-07,63,56,92,211,0.436,0.058824,0.033175,-0.074445,-0.02439,0.6752,0.2922,0.3667,0.3411
2017-06-08,62,81,130,273,0.4762,-0.132867,-0.069597,-0.131515,-0.174312,0.6852,0.2534,0.3849,0.3617
2017-06-09,57,73,87,217,0.4009,-0.123077,-0.073733,-0.136406,-0.264368,0.6761,0.2717,0.4081,0.3202
2017-06-10,3,7,5,15,0.3333,-0.4,-0.266667,-0.232003,-0.714286,0.6925,0.2399,0.4719,0.2881
2017-06-11,10,13,23,46,0.5,-0.130435,-0.065217,-0.151397,-0.263158,0.687,0.2427,0.3941,0.3632
2017-06-12,47,65,90,202,0.4455,-0.160714,-0.089109,-0.139701,-0.181818,0.672,0.2583,0.398,0.3436
2017-06-13,74,56,109,239,0.4561,0.138462,0.075314,-0.021542,0.076087,0.6826,0.3158,0.3373,0.3469
2017-06-14,79,66,76,221,0.3439,0.089655,0.058824,-0.014887,0.080808,0.6995,0.3496,0.3644,0.286
2017-06-15,43,62,60,165,0.3636,-0.180952,-0.115152,-0.131044,-0.283582,0.6904,0.2808,0.4118,0.3074
2017-06-16,39,51,83,173,0.4798,-0.133333,-0.069364,-0.0915,-0.056604,0.6542,0.2699,0.3614,0.3687
2017-06-17,17,23,28,68,0.4118,-0.15,-0.088235,-0.128514,-0.259259,0.6662,0.2653,0.3938,0.341
